population_size,generations,crossover_rate,mutation_rate,use_2opt,num_runs,mean_distance_km,std_distance_km,min_distance_km,max_distance_km,mean_execution_time,std_execution_time,mean_improvement_pct,mean_convergence_gen,feasible_rate
500,20,0.7,0.01,False,3,17.1753,1.8951,15.8847,19.351,0.26,0.02,68.08,7.7,100.0
500,20,0.7,0.05,True,3,17.7491,1.6679,16.2184,19.5267,0.74,0.01,65.58,9,100.0
500,20,0.7,0.05,False,3,19.4222,0.4657,19.1418,19.9598,0.27,0.02,72.17,8.7,100.0
500,20,0.7,0.2,True,3,16.6337,1.7388,14.8723,18.349,0.69,0.04,71.69,9,100.0
500,20,0.7,0.2,False,3,17.0364,1.1082,16.2189,18.2978,0.27,0.02,72.75,10.7,100.0
500,20,0.7,0.5,True,3,16.0505,0.7379,15.4101,16.8574,0.78,0.07,75.6,6.3,100.0
500,20,0.7,0.5,False,3,17.6213,1.1276,16.3619,18.5371,0.27,0.02,66.56,9.3,100.0
500,20,0.8,0.01,True,3,15.2264,0.6286,14.8635,15.9522,0.62,0.02,75.03,8.7,100.0
500,20,0.8,0.01,False,3,19.207,0.9038,18.349,20.1505,0.27,0.0,57.24,9.3,66.7
500,20,0.8,0.05,True,3,17.9698,0.5774,17.3147,18.4044,0.67,0.05,56.43,8,100.0
500,20,0.8,0.05,False,3,16.1985,0.7468,15.4101,16.8953,0.28,0.01,66.42,9.7,100.0
500,20,0.8,0.2,True,3,15.3589,0.0887,15.2565,15.4101,0.66,0.02,72.78,9,100.0
500,20,0.8,0.2,False,3,18.2499,1.9369,16.1366,19.9405,0.28,0.01,61.57,9.3,100.0
500,20,0.8,0.5,True,3,15.9861,0.6484,15.2565,16.4966,0.76,0.05,65.74,8.7,100.0
500,20,0.8,0.5,False,3,17.7526,1.6237,15.8919,18.8827,0.29,0.0,63.09,9,100.0
500,20,0.9,0.01,True,3,16.9741,1.3433,15.8707,18.4699,0.63,0.02,73.4,9.3,100.0
500,20,0.9,0.01,False,3,16.9119,1.1386,15.7417,18.016,0.28,0.02,72.17,8.7,100.0
500,20,0.9,0.05,True,3,15.7181,0.522,15.4101,16.3208,0.68,0.05,72.35,8.7,100.0
500,20,0.9,0.05,False,3,17.7056,1.0232,16.5818,18.5833,0.29,0.01,67.27,9.3,100.0
500,20,0.9,0.2,True,3,18.1336,0.8197,17.5022,19.06,0.69,0.05,66.29,8.3,100.0
500,20,0.9,0.2,False,3,17.4995,2.4449,15.4101,20.1884,0.26,0.02,66.39,10.7,66.7
500,20,0.9,0.5,True,3,15.7812,0.5455,15.2565,16.3453,0.77,0.06,73.97,8.7,100.0
500,20,0.9,0.5,False,3,16.7441,2.0413,15.2698,19.0739,0.3,0.01,69.09,11.3,100.0
500,40,0.6,0.01,True,3,18.4093,0.4008,17.965,18.7438,1.21,0.07,56.18,9,100.0
500,40,0.6,0.01,False,3,19.3411,1.2293,18.0378,20.4799,0.45,0.03,63.95,6.7,66.7
500,40,0.6,0.05,True,3,17.8811,0.4981,17.3294,18.2978,1.23,0.1,55.95,7.3,100.0
500,40,0.6,0.05,False,3,17.5625,1.8024,15.8886,19.4705,0.47,0.04,61.07,10,100.0
500,40,0.6,0.2,True,3,16.8459,1.4443,15.7524,18.4832,1.47,0.07,70.14,9,100.0
500,40,0.6,0.2,False,3,17.1475,1.765,16.0994,19.1853,0.49,0.04,62.16,9,100.0
500,40,0.6,0.5,True,3,17.0472,0.8743,16.3022,18.0098,1.48,0.1,60.67,10,100.0
500,40,0.6,0.5,False,3,17.0423,1.6927,15.8847,18.985,0.5,0.03,62.99,9,100.0
500,40,0.7,0.01,True,3,16.3694,2.1523,14.8635,18.8346,1.16,0.06,67.5,7.7,100.0
500,40,0.7,0.01,False,3,17.8532,1.7184,15.8707,18.9164,0.51,0.01,66.85,8.3,100.0
500,40,0.7,0.05,True,3,17.0729,2.2968,15.2698,19.6588,1.2,0.06,61.62,7.7,100.0
500,40,0.7,0.05,False,3,19.3884,0.6965,18.6568,20.0434,0.44,0.01,61.12,8.7,66.7
500,40,0.7,0.2,True,3,18.6389,0.4091,18.1904,18.9917,1.45,0.06,72.32,6.7,100.0
500,40,0.7,0.2,False,3,17.2269,2.1416,15.7417,19.6818,0.5,0.03,68.94,10.3,100.0
500,40,0.7,0.5,True,3,16.4492,2.0544,15.2565,18.8214,1.52,0.14,67.39,8,100.0
500,40,0.7,0.5,False,3,17.8325,1.1399,16.5367,18.6806,0.46,0.0,73.15,9.7,100.0
500,40,0.8,0.01,True,3,15.3121,0.0964,15.2565,15.4234,1.3,0.04,71.97,8,100.0
500,40,0.8,0.01,False,3,17.9742,1.2632,16.6576,19.1762,0.45,0.01,65.38,9.3,100.0
500,40,0.8,0.05,True,3,16.6749,1.5723,15.6674,18.4866,1.34,0.11,69.62,8.7,100.0
500,40,0.8,0.05,False,3,16.9375,1.0001,15.9522,17.9517,0.46,0.01,67.16,10.3,100.0
500,40,0.8,0.2,True,3,15.8898,0.0094,15.884,15.9006,1.33,0.06,70.22,8.3,100.0
500,40,0.8,0.2,False,3,16.4155,1.0559,15.4101,17.5155,0.65,0.28,71.17,10,100.0
