population_size,generations,crossover_rate,mutation_rate,use_2opt,elitism_count,tournament_size,two_opt_iterations,num_runs,mean_distance_km,std_distance_km,min_distance_km,max_distance_km,mean_execution_time,std_execution_time,mean_improvement_pct,mean_convergence_gen,feasible_rate
100,20,0.6,0.2,True,2,5,100,3,20.1624,2.4392,18.5565,22.9692,1.5,0.17,71.49,9.3,66.7
100,20,0.6,0.2,True,2,8,50,3,23.0989,1.3497,21.8281,24.5156,1.48,0.11,63.72,6.7,0.0
100,20,0.6,0.2,True,2,8,100,3,19.9747,1.5658,18.7179,21.7287,1.51,0.08,66.13,8.3,66.7
100,20,0.6,0.2,True,2,8,500,3,21.4955,1.8874,19.3603,22.9412,1.48,0.07,72.02,5.7,33.3
100,20,0.6,0.2,True,5,3,50,3,19.6851,1.6375,17.8382,20.9594,1.51,0.09,76.96,9.3,33.3
100,20,0.6,0.2,True,5,3,100,3,19.3895,1.4677,17.7728,20.6383,1.37,0.06,71.45,10.7,66.7
100,20,0.6,0.2,True,5,3,500,3,19.0424,2.0364,16.7289,20.5633,1.53,0.11,74.31,9.7,66.7
100,20,0.6,0.2,True,5,5,50,3,20.6952,1.102,19.7745,21.9162,1.24,0.05,74.27,8.7,33.3
100,20,0.6,0.2,True,5,5,100,3,22.4201,1.5378,21.1975,24.1466,1.27,0.11,67.88,5.7,0.0
100,20,0.6,0.2,True,5,5,500,3,20.3402,0.2739,20.176,20.6564,1.34,0.1,64.07,9.7,0.0
100,20,0.6,0.2,True,5,8,50,3,22.3442,1.6811,20.4078,23.4298,1.5,0.12,58.06,4.7,0.0
100,20,0.6,0.2,True,5,8,100,3,20.4349,1.7284,19.1183,22.3921,1.43,0.15,75.53,7.7,66.7
100,20,0.6,0.2,True,5,8,500,3,23.6793,0.988,23.0903,24.82,1.43,0.18,66.46,5.7,0.0
100,20,0.6,0.2,True,10,3,50,3,21.4681,1.2934,19.9762,22.2727,1.25,0.02,67.21,8.3,33.3
100,20,0.6,0.2,True,10,3,100,3,19.9915,1.4051,18.4006,21.0628,1.36,0.12,76.96,11,33.3
100,20,0.6,0.2,True,10,3,500,3,19.119,0.9297,18.1489,20.0022,1.32,0.08,73.92,14,66.7
100,20,0.6,0.2,True,10,5,100,3,21.7932,1.4721,20.1749,23.053,1.3,0.09,76.83,6,0.0
100,20,0.6,0.2,True,10,5,50,3,21.9539,1.4112,20.6936,23.4786,1.31,0.08,75.18,6.3,0.0
100,20,0.6,0.2,True,10,5,500,3,22.4385,4.1383,19.6331,27.1913,1.41,0.16,78.94,7.3,33.3
100,20,0.6,0.2,True,10,8,50,3,23.3898,3.1431,20.0958,26.3564,1.26,0.03,70.34,5,0.0
100,20,0.6,0.2,True,10,8,100,3,20.9748,2.9194,17.7888,23.5217,1.27,0.03,73.75,7.7,33.3
100,20,0.6,0.2,True,10,8,500,3,22.4782,3.2771,19.0777,25.6161,1.36,0.12,66.82,5.3,33.3
100,20,0.6,0.2,False,2,3,50,3,20.7044,1.1503,19.7626,21.9864,0.51,0.02,63.93,17.3,33.3
100,20,0.6,0.2,False,2,3,100,3,22.0919,0.5286,21.4879,22.4704,0.47,0.1,77.12,11.7,0.0
100,20,0.6,0.2,False,2,3,500,3,22.0883,2.4846,19.6427,24.6102,0.48,0.07,71.51,12.7,33.3
100,20,0.6,0.2,False,2,5,100,3,22.786,1.0101,21.6278,23.4844,0.46,0.1,71.68,9,0.0
100,20,0.6,0.2,False,2,5,50,3,22.3539,4.0048,19.9258,26.9763,0.54,0.03,60.51,9.7,33.3
100,20,0.6,0.2,False,2,5,500,3,24.724,1.7521,23.0655,26.5567,0.53,0.14,71.94,7.3,0.0
100,20,0.6,0.2,False,2,8,50,3,22.6653,0.518,22.1042,23.1254,0.44,0.04,60.32,7.7,0.0
100,20,0.6,0.2,False,2,8,500,3,24.5106,2.3505,22.485,27.0879,0.47,0.05,61.31,7.3,0.0
100,20,0.6,0.2,False,2,8,100,3,24.6458,0.8426,24.0453,25.609,0.56,0.1,53.33,7,0.0
100,20,0.6,0.2,False,5,3,50,3,20.6974,1.5236,19.2784,22.3076,0.43,0.07,72.5,10.7,33.3
100,20,0.6,0.2,False,5,3,100,3,24.2339,3.0596,20.7997,26.6694,0.49,0.08,63.8,11.7,0.0
100,20,0.6,0.2,False,5,3,500,3,19.1415,1.3617,17.595,20.1603,0.43,0.09,70.83,15.3,66.7
100,20,0.6,0.2,False,5,5,50,3,24.6002,3.8373,20.8728,28.5387,0.47,0.08,72.61,7.3,0.0
100,20,0.6,0.2,False,5,5,100,3,23.3456,2.0921,20.9705,24.9152,0.48,0.07,61.67,9,0.0
100,20,0.6,0.2,False,5,5,500,3,23.4755,0.7744,22.6115,24.1072,0.46,0.05,71.96,8.3,0.0
100,20,0.6,0.2,False,5,8,50,3,23.8085,4.1988,20.3517,28.481,0.52,0.02,64.02,9,0.0
100,20,0.6,0.2,False,5,8,100,3,26.1835,3.4089,22.507,29.2396,0.51,0.02,63.54,8,0.0
100,20,0.6,0.2,False,5,8,500,3,23.8737,3.9718,19.6458,27.5268,0.51,0.02,61.91,7,33.3
100,20,0.6,0.2,False,10,3,50,3,23.6841,0.2708,23.4036,23.9441,0.43,0.05,59.1,15,0.0
100,20,0.6,0.2,False,10,3,500,3,22.9985,0.8875,22.3191,24.0026,0.43,0.05,65.01,10.3,0.0
100,20,0.6,0.2,False,10,3,100,3,20.1947,1.0316,19.3128,21.3291,0.47,0.06,64.27,12,66.7
100,20,0.6,0.2,False,10,5,50,3,26.0971,4.8629,22.4079,31.6078,0.46,0.09,52.4,8.7,0.0
100,20,0.6,0.2,False,10,5,100,3,26.4016,6.152,21.8491,33.4005,0.42,0.06,63.41,7,0.0
100,20,0.6,0.2,False,10,8,50,3,22.9717,2.3328,20.4821,25.1072,0.46,0.06,62.41,7.7,0.0
100,20,0.6,0.2,False,10,5,500,3,22.9233,2.6235,20.0757,25.2421,0.44,0.05,57.95,8.3,0.0
100,20,0.6,0.2,False,10,8,100,3,22.7728,3.895,19.7344,27.1638,0.52,0.02,65.91,6.7,33.3
100,20,0.6,0.2,False,10,8,500,3,25.1503,5.5922,18.7039,28.6992,0.54,0.03,68.04,8,33.3
100,20,0.6,0.5,True,2,3,50,3,20.9605,0.9041,20.1827,21.9524,1.43,0.02,56.26,9.7,0.0
100,20,0.6,0.5,True,2,3,100,3,16.4443,1.3865,14.8776,17.5133,1.53,0.12,77.25,13,100.0
100,20,0.6,0.5,True,2,3,500,3,21.1421,4.9288,17.9647,26.82,1.53,0.1,57.06,9.7,66.7
100,20,0.6,0.5,True,2,5,50,3,21.0843,4.2484,16.4311,24.7562,1.55,0.12,67.04,7,33.3
100,20,0.6,0.5,True,2,5,100,3,22.5432,3.3868,19.9241,26.3679,1.54,0.1,59.25,6.7,33.3
100,20,0.6,0.5,True,2,5,500,3,20.6901,1.4955,19.4915,22.3659,1.62,0.01,71.97,9.3,33.3
100,20,0.6,0.5,True,2,8,50,3,21.961,1.7125,20.2559,23.6808,1.49,0.07,71.14,6,0.0
100,20,0.6,0.5,True,2,8,100,3,23.7712,0.6153,23.1111,24.3287,1.55,0.06,70.12,7,0.0
100,20,0.6,0.5,True,2,8,500,3,20.7323,1.4572,19.0874,21.8616,1.99,0.68,74.24,8,33.3
100,20,0.6,0.5,True,5,3,100,3,20.5063,1.5604,18.7488,21.729,1.69,0.38,70.13,10,33.3
100,20,0.6,0.5,True,5,3,50,3,20.7204,0.1239,20.6158,20.8573,1.93,0.64,72.85,9.7,0.0
100,20,0.6,0.5,True,5,3,500,3,19.0565,1.419,17.6257,20.4633,1.63,0.06,63.76,12.7,66.7
100,20,0.6,0.5,True,5,5,50,3,22.9064,3.6973,20.1606,27.1104,1.54,0.28,69.64,8.7,0.0
100,20,0.6,0.5,True,5,5,100,3,21.5896,1.5619,20.524,23.3826,1.49,0.14,74.6,6.7,0.0
100,20,0.6,0.5,True,5,5,500,3,21.2381,0.1212,21.1603,21.3778,1.45,0.02,74.7,8,0.0
100,20,0.6,0.5,True,5,8,50,3,23.1701,3.4365,20.3189,26.9858,1.52,0.1,62.13,5,0.0
100,20,0.6,0.5,True,10,3,50,3,21.4159,0.1394,21.2827,21.5608,1.7,0.35,71.95,10.7,0.0
100,20,0.6,0.5,True,5,8,100,3,20.0628,1.2809,19.1095,21.5188,1.78,0.36,73.58,8,66.7
100,20,0.6,0.5,True,5,8,500,3,23.1441,4.3485,18.7016,27.392,1.86,0.58,68.61,6,33.3
100,20,0.6,0.5,True,10,3,100,3,19.3844,2.4004,17.2872,22.0024,1.84,0.35,67.79,10.3,66.7
100,20,0.6,0.5,True,10,3,500,3,21.4162,3.504,19.3914,25.4623,1.6,0.58,67.85,9.7,66.7
100,20,0.6,0.5,True,10,5,50,3,21.8309,2.3771,19.4725,24.2263,1.6,0.62,69.71,7.7,33.3
100,20,0.6,0.5,True,10,5,100,3,19.983,0.5098,19.4114,20.3908,1.58,0.53,76.79,8,33.3
100,20,0.6,0.5,True,10,5,500,3,20.2808,2.2916,17.6858,22.0264,1.4,0.46,67.17,8.3,33.3
100,20,0.6,0.5,False,2,3,50,3,21.4631,1.1015,20.587,22.6997,0.16,0.07,69.01,11.3,0.0
100,20,0.6,0.5,False,2,3,100,3,19.6346,2.8752,16.587,22.2989,0.12,0.02,67.61,20,33.3
100,20,0.6,0.5,True,10,8,500,3,22.5717,0.6472,22.1653,23.318,0.45,0.19,64.09,4,0.0
100,20,0.6,0.5,True,10,8,50,3,18.5341,2.8552,16.5829,21.8111,0.52,0.22,66.5,6.3,66.7
100,20,0.6,0.5,True,10,8,100,3,22.5115,1.8965,20.7011,24.4838,0.45,0.19,53.82,7.3,0.0
100,20,0.6,0.5,False,2,3,500,3,20.9399,1.7363,19.3299,22.7796,0.12,0.02,73.44,16.3,33.3
100,20,0.6,0.5,False,2,5,100,3,20.9818,0.9978,19.9864,21.982,0.12,0.01,73.69,11,33.3
100,20,0.6,0.5,False,2,5,50,3,22.0155,1.0795,20.9782,23.1327,0.13,0.01,61.02,11,0.0
100,20,0.6,0.5,False,2,5,500,3,21.4154,0.5771,20.7654,21.8677,0.13,0.01,65.44,13.7,0.0
100,20,0.6,0.5,False,2,8,50,3,23.8849,2.6542,20.935,26.08,0.13,0.01,60.12,7.3,0.0
100,20,0.6,0.5,False,2,8,500,3,22.4618,2.4639,20.1786,25.0734,0.13,0.02,64.82,8.7,0.0
100,20,0.6,0.5,False,2,8,100,3,22.565,0.8738,21.7409,23.4812,0.14,0.02,74.59,8.3,0.0
100,20,0.6,0.5,False,5,3,50,3,23.5721,1.6926,21.9634,25.3376,0.13,0.02,61.36,13,0.0
100,20,0.6,0.5,False,5,3,100,3,21.4746,2.237,19.519,23.9139,0.12,0.02,63.25,8,33.3
100,20,0.6,0.5,False,5,5,50,3,21.8429,1.0049,20.6881,22.5183,0.12,0.03,70.97,12,0.0
100,20,0.6,0.5,False,5,3,500,3,22.9243,2.7816,19.7408,24.8849,0.13,0.02,65.78,9,33.3
100,20,0.6,0.5,False,5,5,100,3,20.9765,2.911,18.6516,24.2413,0.14,0.01,57.93,8.7,33.3
100,20,0.6,0.5,False,5,5,500,3,23.0489,2.1445,21.7726,25.5248,0.13,0.01,54.32,9.3,0.0
100,20,0.6,0.5,False,5,8,100,3,25.3714,4.8149,22.4452,30.9286,0.12,0.01,64.44,7.3,0.0
100,20,0.6,0.5,False,5,8,50,3,22.9352,5.1305,17.0644,26.5581,0.13,0.02,60.46,5.7,33.3
100,20,0.6,0.5,False,5,8,500,3,23.7677,3.7174,20.7617,27.9244,0.12,0.01,62.56,8.3,0.0
100,20,0.6,0.5,False,10,3,50,3,20.473,0.8209,19.9221,21.4165,0.12,0.01,68.26,15.7,33.3
100,20,0.6,0.5,False,10,3,100,3,21.057,0.2077,20.8693,21.2802,0.12,0.01,72.7,13.7,0.0
100,20,0.6,0.5,False,10,3,500,3,19.4874,2.1891,17.1895,21.5485,0.12,0.01,72.37,12,66.7
100,20,0.6,0.5,False,10,5,50,3,22.58,0.1454,22.4171,22.6967,0.12,0.02,69.62,10,0.0
100,20,0.6,0.5,False,10,5,100,3,22.6634,0.4833,22.1068,22.9766,0.14,0.02,63.8,8.3,0.0
100,20,0.6,0.5,False,10,5,500,3,19.8276,1.1205,18.7877,21.0142,0.14,0.03,74.44,12.7,66.7
100,20,0.6,0.5,False,10,8,50,3,24.4413,0.2825,24.1848,24.744,0.13,0.04,62.01,7.7,0.0
100,20,0.6,0.5,False,10,8,100,3,24.5314,6.1081,17.4821,28.2536,0.15,0.03,58.03,8,33.3
100,20,0.6,0.5,False,10,8,500,3,24.8832,0.1765,24.6817,25.01,0.13,0.01,67.7,6.3,0.0
100,20,0.7,0.01,True,2,3,50,3,20.7822,0.8044,20.2333,21.7056,0.31,0.02,64.67,12.3,0.0
100,20,0.7,0.01,True,2,3,100,3,19.1022,2.4252,17.5552,21.8972,0.34,0.03,52.02,11,66.7
100,20,0.7,0.01,True,2,3,500,3,21.6507,1.3691,20.0919,22.658,0.33,0.02,72.06,11.7,0.0
100,20,0.7,0.01,True,2,5,50,3,17.873,2.6235,16.2309,20.8987,0.31,0.02,82.16,10,66.7
100,20,0.7,0.01,True,2,5,500,3,21.8817,3.374,19.0397,25.6106,0.32,0.02,63.3,6,33.3
